sizing_config,split_id,test_start,test_end,days,spy_return,our_return,our_minus_spy,spy_max_drawdown,our_max_drawdown,avg_abs_position,avg_net_position,long_day_rate,short_day_rate,cash_day_rate,turnover,transaction_cost,short_borrow_cost,winner
fractional_quarter_100bp_edge,6,2021-04-16,2021-10-15,128,0.07868080621323292,0.06285394367830155,-0.015826862534931374,-0.051141231875642124,-0.038452157504764606,0.60546875,0.6015625,0.9375,0.0078125,0.0546875,11.75,0.001175,2.48015873015873e-06,SPY
fractional_quarter_100bp_edge,7,2021-10-18,2022-04-14,125,-0.014123504276864707,0.02896737868899746,0.043090882965862165,-0.12865546428446328,-0.06395362355653256,0.456,0.244,0.6,0.24,0.16,23.0,0.0023,0.0001314484126984127,our_model
fractional_quarter_100bp_edge,8,2022-04-18,2022-10-14,126,-0.15538071876196446,0.15662462426966606,0.3120053430316305,-0.19204729108991025,-0.11540353761035949,0.7896825396825397,-0.5992063492063492,0.1746031746031746,0.7857142857142857,0.03968253968253968,17.25,0.0017250000000000004,0.0008680555555555554,our_model
fractional_quarter_100bp_edge,9,2022-10-17,2023-04-14,124,0.1379637095628743,0.03483874589529301,-0.10312496366758128,-0.07538750754385104,-0.11449017627997193,0.7903225806451613,0.35080645161290325,0.6854838709677419,0.29838709677419356,0.016129032258064516,15.5,0.00155,0.0002703373015873016,SPY
fractional_quarter_100bp_edge,10,2023-04-17,2023-10-13,126,0.06103187577942748,0.05040941012674538,-0.0106224656526821,-0.07582731851581215,-0.018922152990294205,0.41865079365079366,-0.05357142857142857,0.2857142857142857,0.5317460317460317,0.18253968253968253,24.75,0.0024749999999999998,0.00029513888888888895,SPY
fractional_quarter_100bp_edge,11,2023-10-16,2024-04-15,125,0.16306371015310295,0.12944208835219784,-0.03362162180090511,-0.05811644341141653,-0.014831164817931342,0.554,0.514,0.872,0.064,0.064,14.0,0.0014000000000000002,2.48015873015873e-05,SPY
fractional_quarter_100bp_edge,12,2024-04-16,2024-10-15,127,0.16372494447839836,-0.013926792247058506,-0.17765173672545687,-0.08405608805215348,-0.05150748321307219,0.4822834645669291,0.005905511811023622,0.4566929133858268,0.4409448818897638,0.10236220472440945,18.0,0.0018000000000000004,0.00030009920634920645,SPY
fractional_quarter_100bp_edge,13,2024-10-16,2025-04-15,124,-0.09150654141545045,-0.0504183892017156,0.04108815221373485,-0.18755234489427275,-0.136868533379068,0.5282258064516129,0.47580645161290325,0.8548387096774194,0.08064516129032258,0.06451612903225806,15.0,0.0015000000000000002,3.224206349206349e-05,our_model
fractional_quarter_100bp_edge,14,2025-04-16,2025-10-15,126,0.2639920319541349,-0.034834881263654194,-0.2988269132177891,-0.02984653787017788,-0.05752068831914625,0.43253968253968256,-0.12301587301587301,0.40476190476190477,0.46825396825396826,0.12698412698412698,24.75,0.0024749999999999998,0.0003472222222222222,SPY
fractional_quarter_100bp_edge,15,2025-10-16,2026-04-15,124,0.0681388808388852,0.03362678565961841,-0.03451209517926679,-0.08884968175523811,-0.06415046371961608,0.5866935483870968,0.4778225806451613,0.8306451612903226,0.13709677419354838,0.03225806451612903,14.75,0.0014750000000000002,6.69642857142857e-05,SPY
fractional_quarter_100bp_edge,16,2026-04-16,2026-07-02,54,0.07403367927861226,0.049558896894443816,-0.024474782384168448,-0.04494652583696368,-0.03381076310571762,0.6990740740740741,0.6990740740740741,1.0,0.0,0.0,1.0,0.0001,0.0,SPY
fractional_quarter_10bp_edge,1,2018-10-16,2019-04-15,124,0.04543479073578616,0.0810801176845064,0.035645326948720246,-0.16120999241903322,-0.12869503652644898,0.9576612903225806,-0.05040322580645161,0.4596774193548387,0.5241935483870968,0.016129032258064516,31.5,0.00315,0.0006200396825396825,our_model
fractional_quarter_10bp_edge,2,2019-04-16,2019-10-15,127,0.038172231492216824,0.03860079123793825,0.0004285597457214241,-0.06618365702175977,-0.06618365702175955,0.9980314960629921,0.9980314960629921,1.0,0.0,0.0,2.0,0.0002,0.0,our_model
fractional_quarter_10bp_edge,3,2019-10-16,2020-04-15,125,-0.05455269717552913,0.49610367834533076,0.5506563755208599,-0.33717262742332,-0.232863066552357,0.984,-0.832,0.08,0.92,0.0,23.5,0.00235,0.001125992063492064,our_model
fractional_quarter_10bp_edge,4,2020-04-16,2020-10-15,128,0.25479976125070136,0.20695909878616692,-0.047840662464534445,-0.09440438875248791,-0.06989512189093683,0.951171875,0.541015625,0.78125,0.2109375,0.0078125,42.5,0.00425,0.00026041666666666666,SPY
