sizing_config,strategy,split_count,rows,first_test_date,last_test_date,total_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,positive_day_rate,directional_accuracy,avg_exposure,avg_net_exposure,long_day_rate,short_day_rate,cash_day_rate,annual_turnover,total_transaction_cost,total_short_borrow_cost
fractional_quarter_10bp_edge,logistic_regression,16,1937,2018-10-16,2026-07-02,3.6862225320384328,0.22256730953757864,0.19189026083413774,1.142985985596974,-0.24792719272328467,0.8977123771412578,0.5307176045431079,0.5394940629839958,0.9679917398038204,0.27181208053691275,0.6334537945276201,0.3593185338151781,0.007227671657201859,52.884873515746,0.040650000000000006,0.006688988095238095
discrete_full,logistic_regression,16,1937,2018-10-16,2026-07-02,3.800601300436978,0.22640880866034818,0.19552676933644472,1.1414027937028834,-0.2516630474476682,0.8996505881835056,0.535880227155395,0.5394940629839958,1.0,0.2751677852348993,0.6375838926174496,0.3624161073825503,0.0,51.38874548270521,0.03950000000000001,0.0069642857142857145
fractional_quarter_20bp_edge,logistic_regression,16,1937,2018-10-16,2026-07-02,3.484542410890189,0.21559046414389393,0.1885169554664152,1.1296739219274436,-0.24362571684696077,0.8849249042100188,0.5260712441920495,0.5394940629839958,0.9359834796076407,0.2656169334021683,0.628291171915333,0.3551884357253485,0.016520392359318535,52.1042849767682,0.04005,0.006440972222222222
threshold_ladder_5_20bp,logistic_regression,16,1937,2018-10-16,2026-07-02,3.3919721669899587,0.2122963111525238,0.1871820680023279,1.1218853631945607,-0.2516033297526855,0.8437738537133085,0.5193598347960764,0.5394940629839958,0.9192049561177078,0.26355188435725346,0.6189984512132163,0.34796076406814663,0.03304078471863707,53.92565823438307,0.04145,0.006299603174603175
fractional_half_20bp_edge,logistic_regression,16,1937,2018-10-16,2026-07-02,3.3233931167620296,0.2098167203874275,0.18895206645825482,1.1022967255289302,-0.2469485217458357,0.8496374827599698,0.5193598347960764,0.5394940629839958,0.9357253484770264,0.266133195663397,0.6200309757356737,0.3469282395456892,0.03304078471863707,51.38874548270521,0.0395,0.006433531746031746
fractional_quarter_30bp_edge,logistic_regression,16,1937,2018-10-16,2026-07-02,3.064835123809406,0.20014942783360956,0.18476974659338388,1.079580561017295,-0.23617999918768484,0.8474444428910218,0.5209086215797625,0.5394940629839958,0.898812596799174,0.26122870418172434,0.623128549303046,0.3495095508518327,0.027361899845121322,51.193598347960766,0.03935,0.006125992063492063
fractional_quarter_50bp_edge,logistic_regression,16,1937,2018-10-16,2026-07-02,2.069967764869161,0.15711141742352241,0.17282934309306375,0.9307645976879364,-0.232863066552357,0.6746944448925628,0.5167785234899329,0.5394940629839958,0.8199535363964894,0.2549044914816727,0.6164171399070728,0.3453794527620031,0.03820340733092411,49.17707795560144,0.03780000000000001,0.0054290674603174605
fractional_quarter_100bp_edge,logistic_regression,16,1937,2018-10-16,2026-07-02,1.1154943325502953,0.10239050053486332,0.11455382558510312,0.9082547570103531,-0.15338966088038564,0.667518918466794,0.4966442953020134,0.5394940629839958,0.5273618998451213,0.1610738255033557,0.5931853381517811,0.3293753226639133,0.07743933918430562,33.53278265358802,0.025775000000000003,0.003519345238095238
