source_group,strategy,split_id,expected_test_rows,rows_available,missing_test_rows,test_start,test_end,total_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,positive_day_rate,avg_exposure,avg_net_exposure,long_day_rate,short_day_rate,cash_day_rate,annual_turnover,total_transaction_cost,total_short_borrow_cost
baseline_rules_rebuilt_1bp,baseline_momentum_10d,1,124,124,0,2018-10-16,2019-04-15,0.05676435759800169,0.11874164000850862,0.10901234929695197,1.0842946419567954,-0.0930904467355167,1.275551296320133,0.3790322580645161,0.6370967741935484,0.6370967741935484,0.6370967741935484,0.0,0.3629032258064516,26.41935483870968,0.0013000000000000002,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,2,127,127,0,2019-04-16,2019-10-15,0.037863135780960455,0.07652965594731564,0.06641825499626611,1.1436403433969002,-0.022907197829916126,3.340856289605626,0.28346456692913385,0.5748031496062992,0.5748031496062992,0.5748031496062992,0.0,0.4251968503937008,31.748031496062993,0.0016,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,3,125,125,0,2019-10-16,2020-04-15,0.1273070583961453,0.2732600949299344,0.1615168337922766,1.5763078020132415,-0.10937734652312636,2.498324411921597,0.456,0.72,0.72,0.72,0.0,0.28,16.128,0.0008,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,4,128,128,0,2020-04-16,2020-10-15,0.1607917297276118,0.34117373076486834,0.19194824288766932,1.6269328398760954,-0.0774949647823372,4.402527721938256,0.46875,0.78125,0.78125,0.78125,0.0,0.21875,23.625,0.0012000000000000001,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,5,124,124,0,2020-10-16,2021-04-15,0.12235110231627822,0.26437101385883977,0.10963486335201363,2.1954870127553994,-0.04749471661858462,5.566324692110948,0.43548387096774194,0.782258064516129,0.782258064516129,0.782258064516129,0.0,0.21774193548387097,36.58064516129033,0.0018,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,6,128,128,0,2021-04-16,2021-10-15,0.03136434236580099,0.06268633533217893,0.07644915643249864,0.8336184561538447,-0.02897416915199491,2.1635248625537513,0.40625,0.7265625,0.7265625,0.7265625,0.0,0.2734375,27.5625,0.0014000000000000002,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,7,125,125,0,2021-10-18,2022-04-14,-0.03600977812392081,-0.07126797903594773,0.1054405193091545,-0.6481554065854391,-0.10062792525694109,-0.7082326188677116,0.296,0.552,0.552,0.552,0.0,0.448,30.24,0.0015,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,8,126,126,0,2022-04-18,2022-10-14,-0.012564783870667173,-0.02497169394761778,0.15156867436740595,-0.09080307123924963,-0.10997394255039161,-0.22706918901425577,0.19047619047619047,0.4126984126984127,0.4126984126984127,0.4126984126984127,0.0,0.5873015873015873,22.0,0.0011,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,9,124,124,0,2022-10-17,2023-04-14,0.08965846002321354,0.19064887520953522,0.13491070229721108,1.3612228187175515,-0.055334620428822756,3.4453814579747224,0.33064516129032256,0.6290322580645161,0.6290322580645161,0.6290322580645161,0.0,0.3709677419354839,36.58064516129033,0.0018,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,10,126,126,0,2023-04-17,2023-10-13,0.045625380284024075,0.09333243589410989,0.078693894749892,1.1734169551036862,-0.04311123763506575,2.1649212830344564,0.3492063492063492,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.0,0.38095238095238093,24.0,0.0012000000000000001,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,11,125,125,0,2023-10-16,2024-04-15,0.13206969549616399,0.2841279546179931,0.09820144282677715,2.596889587339611,-0.03410870265150945,8.33007216723968,0.456,0.808,0.808,0.808,0.0,0.192,22.176,0.0011,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,12,127,127,0,2024-04-16,2024-10-15,0.07511635184512899,0.15455751601486445,0.08211615000958053,1.7917749965054464,-0.028192647823832684,5.482192271568373,0.4251968503937008,0.6614173228346457,0.6614173228346457,0.6614173228346457,0.0,0.33858267716535434,33.73228346456693,0.0017000000000000001,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,13,124,124,0,2024-10-16,2025-04-15,-0.058815212252918414,-0.11590160647649539,0.08384892479048636,-1.42653270717086,-0.0682196482233407,-1.69894758321021,0.25,0.5,0.5,0.5,0.0,0.5,38.612903225806456,0.0019000000000000002,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,14,126,126,0,2025-04-16,2025-10-15,0.19697655559143845,0.432752874635544,0.11604735455720343,3.158709710804547,-0.04234834511126628,10.218885141757644,0.5079365079365079,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.0,0.11904761904761904,28.0,0.0014000000000000002,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,15,124,124,0,2025-10-16,2026-04-15,-0.015442921165918277,-0.03113389533837918,0.0788821259779582,-0.36153256470484596,-0.09132623090542102,-0.34090857609816355,0.24193548387096775,0.49193548387096775,0.49193548387096775,0.49193548387096775,0.0,0.5080645161290323,46.74193548387097,0.0023,
baseline_rules_rebuilt_1bp,baseline_momentum_10d,16,54,49,5,2026-04-16,2026-06-25,0.02798096197105049,0.15249091741212872,0.10965090762322319,1.349776513356741,-0.05039287236252055,3.026041387661464,0.42857142857142855,0.7551020408163265,0.7551020408163265,0.7551020408163265,0.0,0.24489795918367346,20.57142857142857,0.0004,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,1,124,124,0,2018-10-16,2019-04-15,0.08886074608710715,0.18887813348981086,0.10107041691805176,1.7630729296295355,-0.0368990520730228,5.118780100801051,0.3548387096774194,0.5887096774193549,0.5887096774193549,0.5887096774193549,0.0,0.4112903225806452,14.225806451612902,0.0007,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,2,127,127,0,2019-04-16,2019-10-15,0.0076054912278507025,0.015147692977184768,0.07312950176709103,0.24221519886927564,-0.03959238980742463,0.3825910244585481,0.2992125984251969,0.5905511811023622,0.5905511811023622,0.5905511811023622,0.0,0.4094488188976378,13.88976377952756,0.0007,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,3,125,125,0,2019-10-16,2020-04-15,0.09227572048956656,0.19475230395535492,0.10437669906894477,1.7577307024694728,-0.04714844178035427,4.130620156284867,0.464,0.72,0.72,0.72,0.0,0.28,14.112,0.0007000000000000001,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,4,128,128,0,2020-04-16,2020-10-15,0.17925803732682422,0.38350238894396504,0.196683535183332,1.7506995321492025,-0.09218137419400352,4.160302363651596,0.5234375,0.84375,0.84375,0.84375,0.0,0.15625,19.6875,0.001,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,5,124,124,0,2020-10-16,2021-04-15,0.10094713728499838,0.21585066998070856,0.14227870589359257,1.445547245925409,-0.05538996050765299,3.8969276743009305,0.5,0.9112903225806451,0.9112903225806451,0.9112903225806451,0.0,0.08870967741935484,16.258064516129032,0.0008,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,6,128,128,0,2021-04-16,2021-10-15,-0.007901613698768517,-0.015496757737734068,0.0905535821537987,-0.12710187421592942,-0.06011773937126219,-0.2577734608753754,0.421875,0.796875,0.796875,0.796875,0.0,0.203125,23.625,0.0012000000000000001,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,7,125,125,0,2021-10-18,2022-04-14,-0.04843953350047758,-0.09525172581661923,0.10042671293455627,-0.9461062296222255,-0.09410016515248465,-1.0122376051335142,0.288,0.552,0.552,0.552,0.0,0.448,30.24,0.0015,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,8,126,126,0,2022-04-18,2022-10-14,-0.0026017391317135763,-0.0051967092169176166,0.12165265359452564,0.01813267538705188,-0.06993543761009935,-0.07430723813998358,0.1349206349206349,0.30952380952380953,0.30952380952380953,0.30952380952380953,0.0,0.6904761904761905,16.0,0.0008,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,9,124,124,0,2022-10-17,2023-04-14,0.03987143746555133,0.08269723957667474,0.1593507253247276,0.5777151520261589,-0.08372049014135285,0.987777776229565,0.2903225806451613,0.6209677419354839,0.6209677419354839,0.6209677419354839,0.0,0.3790322580645161,26.41935483870968,0.0013,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,10,126,126,0,2023-04-17,2023-10-13,0.017710667800096003,0.03573500335411728,0.0909799379982131,0.43140655248004334,-0.06547186200590527,0.5458070422816773,0.3412698412698413,0.6587301587301587,0.6587301587301587,0.6587301587301587,0.0,0.3412698412698413,22.0,0.0011,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,11,125,125,0,2023-10-16,2024-04-15,0.1850135164837028,0.40807627459786744,0.10076692261338542,3.44879709184326,-0.031154848214635322,13.098323310275967,0.52,0.872,0.872,0.872,0.0,0.128,8.064,0.0004,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,12,127,127,0,2024-04-16,2024-10-15,0.08673305042751989,0.17944280784246813,0.09682581759086693,1.7536213287840332,-0.0823378959715495,2.1793465296280052,0.48031496062992124,0.7637795275590551,0.7637795275590551,0.7637795275590551,0.0,0.23622047244094488,13.88976377952756,0.0007000000000000001,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,13,124,124,0,2024-10-16,2025-04-15,-0.005104525455343678,-0.010346384004267795,0.09139404402524283,-0.06790434874574099,-0.0520705485772357,-0.19869934707757325,0.31451612903225806,0.5403225806451613,0.5403225806451613,0.5403225806451613,0.0,0.4596774193548387,18.290322580645164,0.0009,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,14,126,126,0,2025-04-16,2025-10-15,0.16112980224330342,0.348222417657573,0.10773296833197867,2.8288019239977547,-0.03355167554227423,10.378689350963171,0.5238095238095238,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.0,0.07936507936507936,14.0,0.0007000000000000001,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,15,124,124,0,2025-10-16,2026-04-15,0.034005024446220444,0.07032032039327585,0.08363293250705343,0.854577046937804,-0.055121391569868505,1.2757355790653817,0.3225806451612903,0.5967741935483871,0.5967741935483871,0.5967741935483871,0.0,0.4032258064516129,28.451612903225804,0.0014000000000000002,
baseline_rules_rebuilt_1bp,baseline_momentum_20d,16,54,49,5,2026-04-16,2026-06-25,0.023187973502693193,0.1251212778347608,0.11586925974239264,1.0758601416732096,-0.05482044075202597,2.2823836532203865,0.46938775510204084,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,15.428571428571429,0.00030000000000000003,
