refresh_schedule,model,period_id,test_start,test_end,days,spy_return,our_return,our_minus_spy,spy_max_drawdown,our_max_drawdown,long_days,short_days,cash_days,turnover,transaction_cost,short_borrow_cost,winner
biweekly,logistic_regression,25,2019-09-17,2019-09-30,10,-0.021021254771852238,0.011684397545475234,0.03270565231732747,-0.021606665053192753,-0.005924517463715251,4,6,0,4.0,0.0004,5.9523809523809524e-05,our_model
biweekly,logistic_regression,26,2019-10-01,2019-10-14,10,0.019233264688175877,-0.01067053294228526,-0.029903797630461137,-0.019772815336450478,-0.027834059175473325,2,8,0,8.0,0.0008,7.936507936507937e-05,SPY
biweekly,logistic_regression,27,2019-10-15,2019-10-28,10,0.014487467792713149,0.004588226546244467,-0.009899241246468682,-0.004377113461400128,-0.006789067613430344,4,6,0,6.0,0.0006000000000000001,5.9523809523809524e-05,SPY
biweekly,logistic_regression,28,2019-10-29,2019-11-11,10,0.019095511957719413,0.008083071771597616,-0.011012440186121797,-0.0026634403458833944,-0.006451240896252264,4,6,0,2.0,0.0002,5.9523809523809524e-05,SPY
biweekly,logistic_regression,29,2019-11-12,2019-11-25,10,0.016440297543776294,-0.012132032006781923,-0.028572329550558218,-0.005608462002785752,-0.01383923395406872,1,9,0,2.0,0.0002,8.928571428571429e-05,SPY
biweekly,logistic_regression,30,2019-11-26,2019-12-09,9,-0.0017513181751671603,0.010153691186358671,0.011905009361525831,-0.01879679402444212,-0.017047927629763704,1,8,0,2.0,0.0002,7.936507936507937e-05,our_model
biweekly,logistic_regression,31,2019-12-10,2019-12-23,10,0.02959671764010907,-0.015513654343486838,-0.04511037198359591,0.0,-0.01270106331288301,2,8,0,4.0,0.0004,7.936507936507937e-05,SPY
biweekly,logistic_regression,32,2019-12-24,2020-01-06,8,0.004669133441601359,0.0044692635087622,-0.00019986993283915844,-0.007571857050165276,-0.007571857050165498,8,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,33,2020-01-07,2020-01-17,9,0.026555075967012565,-0.0263655578498746,-0.052920633816887164,-0.002877437401848426,-0.022845459009360858,0,9,0,2.0,0.0002,8.928571428571429e-05,SPY
biweekly,logistic_regression,34,2020-01-21,2020-02-03,10,-0.006761261265358143,-0.0010140150689703642,0.0057472461963877786,-0.030115566845161923,-0.02257642504215629,4,6,0,4.0,0.0004,5.9523809523809524e-05,our_model
biweekly,logistic_regression,35,2020-02-04,2020-02-14,9,0.023308746884723952,-0.023142462583643608,-0.04645120946836756,-0.005329637893178085,-0.016146725777803517,0,9,0,0.0,0.0,8.928571428571429e-05,SPY
biweekly,logistic_regression,36,2020-02-18,2020-03-02,10,-0.10836597755127764,-0.10854345581021985,-0.0001774782589422097,-0.12437209101657232,-0.12437209101657243,10,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,37,2020-03-03,2020-03-16,10,-0.15800694866403198,0.505394293595506,0.663401242259538,-0.23336321119366765,-0.05400175480577496,3,6,1,10.0,0.001,5.9523809523809524e-05,our_model
biweekly,logistic_regression,38,2020-03-17,2020-03-30,10,0.025576238801265472,0.41668756676402996,0.3911113279627645,-0.06756054059791494,-0.002134708299141419,4,6,0,8.0,0.0008,5.9523809523809524e-05,our_model
biweekly,logistic_regression,39,2020-03-31,2020-04-13,9,0.10102811645034748,-0.0006966562447822122,-0.1017247726951297,-0.01445429332968906,-0.0690942418036733,2,7,0,4.0,0.0004,6.944444444444444e-05,SPY
biweekly,logistic_regression,40,2020-04-14,2020-04-27,10,0.006836164738821537,0.04230712778757395,0.03547096304875241,-0.04744643488121869,-0.030562857870974902,9,1,0,6.0,0.0006000000000000001,9.92063492063492e-06,our_model
biweekly,logistic_regression,41,2020-04-28,2020-05-11,10,0.0032897438295895753,0.04344018603521849,0.04015044220562891,-0.03553760127519934,-0.03553760127519934,8,2,0,2.0,0.0002,1.984126984126984e-05,our_model
biweekly,logistic_regression,42,2020-05-12,2020-05-22,9,0.04329033531488036,0.043077920528761915,-0.00021241478611844222,-0.010271384520261995,-0.010271384520261995,9,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,43,2020-05-26,2020-06-08,10,0.0725892870755831,0.044546817546859074,-0.028042469528724023,-0.007456705855213852,-0.007456705855213741,8,2,0,4.0,0.0004,1.984126984126984e-05,SPY
biweekly,logistic_regression,44,2020-06-09,2020-06-22,10,-0.022964930270692574,0.08432941934692462,0.10729434961761719,-0.05764953067761869,-0.011008932318371967,6,4,0,6.0,0.0006000000000000001,3.968253968253968e-05,our_model
biweekly,logistic_regression,45,2020-06-23,2020-07-06,9,0.005544264005006516,0.03239052098193951,0.02684625697693299,-0.023751581039749725,-0.030158344202399046,2,7,0,8.0,0.0008,6.944444444444444e-05,our_model
biweekly,logistic_regression,46,2020-07-07,2020-07-20,10,0.03578937830157081,0.030462634147702783,-0.005326744153868024,-0.008659024987901276,-0.013837188092107433,4,6,0,16.0,0.0016000000000000003,5.9523809523809524e-05,SPY
biweekly,logistic_regression,47,2020-07-21,2020-08-03,10,0.015537840846790774,-0.013114333650604437,-0.02865217449739521,-0.018295338691271312,-0.018494050629514258,6,4,0,8.0,0.0008,3.968253968253968e-05,SPY
biweekly,logistic_regression,48,2020-08-04,2020-08-17,10,0.025995428340334303,0.02579149586033047,-0.00020393248000383224,-0.00825471488497187,-0.00825471488497187,10,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,49,2020-08-18,2020-08-31,10,0.04122360608573761,-0.009826507743709412,-0.05105011382944702,-0.0036228353093493704,-0.01464820536843281,3,7,0,10.0,0.001,6.944444444444444e-05,SPY
biweekly,logistic_regression,50,2020-09-01,2020-09-14,9,-0.03525231296517983,0.05389986403619962,0.08915217700137945,-0.06846512431099172,-0.042297773106106384,7,2,0,10.0,0.001,1.984126984126984e-05,our_model
biweekly,logistic_regression,51,2020-09-15,2020-09-28,10,-0.01901843568697814,-0.027724469890435754,-0.008706034203457613,-0.04394220613479094,-0.03272424086520764,6,4,0,6.0,0.0006000000000000001,3.968253968253968e-05,SPY
biweekly,logistic_regression,52,2020-09-29,2020-10-12,10,0.05343409946337219,-0.03810455124323009,-0.09153865070660228,-0.014215625034608048,-0.053975354355078387,1,9,0,4.0,0.0004,8.928571428571429e-05,SPY
biweekly,logistic_regression,53,2020-10-13,2020-10-26,10,-0.034015381794580524,-0.019594615477032784,0.01442076631754774,-0.027907729042166873,-0.0268995223138897,8,2,0,2.0,0.0002,1.984126984126984e-05,our_model
biweekly,logistic_regression,54,2020-10-27,2020-11-09,10,0.04677393541234842,0.054112732998904844,0.0073387975865564226,-0.010424799945106256,-0.031829016586713,5,5,0,6.0,0.0006000000000000001,4.96031746031746e-05,our_model
biweekly,logistic_regression,55,2020-11-10,2020-11-23,10,0.025929244130868723,0.03475366850073458,0.008824424369865858,-0.019968778954524535,-0.012234615995729836,7,3,0,10.0,0.001,2.9761904761904762e-05,our_model
biweekly,logistic_regression,56,2020-11-24,2020-12-07,9,0.019134381120458066,0.014984404822614428,-0.004149976297843638,-0.004427392291171395,-0.004427392291171395,7,2,0,4.0,0.0004,1.984126984126984e-05,SPY
biweekly,logistic_regression,57,2020-12-08,2020-12-21,10,-0.0036864403568208637,0.013467769980322064,0.017154210337142928,-0.009226830953007692,-0.006168333445357277,6,4,0,10.0,0.001,3.968253968253968e-05,our_model
biweekly,logistic_regression,58,2020-12-22,2021-01-04,8,0.011137292370525742,-0.0021271622303536963,-0.013264454600879438,-0.013613761513213918,-0.021170240795839845,2,6,0,6.0,0.0006000000000000001,5.9523809523809524e-05,SPY
biweekly,logistic_regression,59,2021-01-05,2021-01-15,9,0.01971277516523129,0.01971277516523129,0.0,-0.014583042933639101,-0.014583042933639101,9,0,0,0.0,0.0,0.0,SPY
biweekly,logistic_regression,60,2021-01-19,2021-02-01,10,0.007658725470939043,-0.009657050190647776,-0.01731577566158682,-0.03725409187091122,-0.030569890221727847,0,10,0,2.0,0.0002,9.92063492063492e-05,SPY
biweekly,logistic_regression,61,2021-02-02,2021-02-12,9,0.02817469194509581,0.012811460211515246,-0.015363231733580562,-0.0011010084806775122,-0.008722804866859502,8,1,0,6.0,0.0006000000000000001,9.92063492063492e-06,SPY
biweekly,logistic_regression,62,2021-02-16,2021-03-01,10,-0.01468277562416953,-0.015539434031128674,-0.0008566584069591432,-0.030658165255860736,-0.03085286227704731,9,1,0,4.0,0.0004,9.92063492063492e-06,SPY
biweekly,logistic_regression,63,2021-03-02,2021-03-15,10,0.02424105145114286,-0.0504886711582343,-0.07472972260937716,-0.012374732459700777,-0.05049626861919465,1,9,0,2.0,0.0002,8.928571428571429e-05,SPY
