source_group,strategy,rows_available,ml_test_rows,missing_test_rows,coverage_vs_ml_test_days,split_count,first_test_date,last_test_date,total_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,positive_day_rate,avg_exposure,avg_net_exposure,long_day_rate,short_day_rate,cash_day_rate,annual_turnover,total_transaction_cost,total_short_borrow_cost,rows
metals_rotation_rules,GLD_momentum_120d_long_cash,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.9304790634407731,0.1501323600778146,0.1583576859391858,0.9631770017555641,-0.21213581853542418,0.7077181077402271,0.43417656169334023,0.7811048012390295,,,,,4.683531233866804,0.0072,,1937
stock_rule_strategies,SPY_momentum_60d_long_cash,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,1.2540576076851577,0.11177037455783179,0.11935944681687166,0.9478076240338714,-0.20412765890219264,0.547551346833338,0.42007242628039315,0.7480600103466115,,,,,8.995344024831867,0.0069,,1933
stock_rule_strategies,SPY_QQQ_equal_positive_60d,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,1.6406349683033166,0.13495066479633833,0.14512207968098675,0.9454087549955946,-0.21585323244242427,0.6251964043778425,0.43610967408173823,0.7692705638903259,,,,,17.078116916709778,0.0131,,1933
stock_rule_strategies,QQQ_momentum_10d_long_cash,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,1.6786075478446967,0.13706516436547966,0.15218780774018215,0.9205281882695908,-0.2590661099890179,0.5290740821765147,0.36833936885669943,0.6430419037765132,,,,,31.288153129849974,0.024,,1933
risk_control_rules,buy_hold_QQQ,1937,1937,0,1.0,16,2018-10-16,2026-07-02,3.287254169256328,0.20849625921897186,0.24326245748218417,0.9006298074239909,-0.3511873277686417,0.5936895859645792,0.5642746515229736,1.0,,,,,0.0,0.0,,1937
stock_rule_strategies,SPY_QQQ_rotation_60d,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,1.6857495031748972,0.13745994798810623,0.15791846139177682,0.895124647872403,-0.23918214940777116,0.5747082227016732,0.4309363683393689,0.7692705638903259,,,,,26.203828246249355,0.0201,,1933
stock_rule_strategies,buy_hold_QQQ,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,3.1873892221689912,0.2052609220177568,0.2430773875927633,0.8900951371641523,-0.3511872227135139,0.584477192626115,0.5638903259182617,1.0,,,,,0.0,0.0,,1933
stock_rule_strategies,QQQ_momentum_60d_long_cash,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,1.6656165758633135,0.1363447136892728,0.16175917514225094,0.8716139003076261,-0.1832615644837743,0.7439896853076607,0.4092084842214175,0.7133988618727367,,,,,10.038282462493534,0.0077,,1933
stock_rule_strategies,buy_hold_SPY,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,1.9231652850365104,0.15009058595337632,0.19591800721270994,0.8121930784612619,-0.33717252846989065,0.4451447650094641,0.553026383859286,1.0,,,,,0.0,0.0,,1933
walk_forward_ml_long_short_cost_aware,ridge_classifier,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.583411116592246,0.13142452956372375,0.19561383156380868,0.7289036362068606,-0.24800434553944783,0.5299283336259897,0.5281362932369644,0.9994837377387713,0.2963345379452762,0.6479091378420238,0.35157459989674755,0.0005162622612287042,38.1187403200826,0.0293,0.00675595238095238,1937
metals_rotation_rules,stock_metals_bonds_top2_20d,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.6914967015550677,0.13747373884337377,0.2122972810866105,0.714955813411432,-0.28799227272839545,0.4773521787267702,0.4894166236448116,0.9096541042849767,,,,,69.47237996902426,0.1068,,1937
metals_rotation_rules,buy_hold_SLV,1937,1937,0,1.0,16,2018-10-16,2026-07-02,3.0765602558506444,0.20059924581121358,0.3516789412636159,0.7004896252733396,-0.5096590953835433,0.3935949493067575,0.5198760970573051,1.0,,,,,0.0,0.0,,1937
metals_rotation_rules,stock_metals_bonds_top2_120d,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.6172525763272225,0.1333418321999873,0.22781625957724078,0.665612881179535,-0.31112291534669356,0.4285824850008252,0.5193598347960764,0.9370160041300981,,,,,26.80020650490449,0.0412,,1937
metals_rotation_rules,stock_metals_bonds_rotation_20d,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.807277230723987,0.14372354484802807,0.2762284963337037,0.6289268831539514,-0.463915716030873,0.3098052941117939,0.4770263293753227,0.9096541042849767,,,,,92.62983995869902,0.14240000000000003,,1937
metals_rotation_rules,stock_metals_bonds_top2_60d,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.3557725121479236,0.11792801086909521,0.21513319213199597,0.6279457273652559,-0.4058247374313215,0.2905885225615464,0.5116159008776459,0.9380485286525555,,,,,39.81001548786784,0.0612,,1937
metals_rotation_rules,SLV_momentum_120d_long_cash,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.9365771854648144,0.1504434482369117,0.30839338261637994,0.6137989597008333,-0.456188154644934,0.3297837673010311,0.35570469798657717,0.6732059886422302,,,,,11.969024264326277,0.0184,,1937
metals_rotation_rules,GLD_momentum_20d_long_cash,1937,1937,0,1.0,16,2018-10-16,2026-07-02,0.6960296953325587,0.07114645258515817,0.1417983586521225,0.5561747132970339,-0.231291811183448,0.30760471899599034,0.32266391326794014,0.6029943211151265,,,,,27.45069695405266,0.0422,,1937
baseline_rules_rebuilt_1bp,baseline_reversion_5d,1932,1937,5,0.9974186886938565,16,2018-10-16,2026-06-25,0.7668115784875291,0.07706572261716849,0.15519816160311442,0.5560753869512747,-0.25242878807041713,0.30529688474228367,0.21325051759834368,0.38198757763975155,0.38198757763975155,0.38198757763975155,0.0,0.6180124223602484,45.91304347826087,0.0352,,1932
baseline_rules_rebuilt_1bp,baseline_momentum_5d,1932,1937,5,0.9974186886938565,16,2018-10-16,2026-06-25,0.5420737669844886,0.05812129370302355,0.1198378367085244,0.5317279301876542,-0.15350605021534136,0.37862542630397844,0.33954451345755693,0.6180124223602484,0.6180124223602484,0.6180124223602484,0.0,0.38198757763975155,45.91304347826087,0.0352,,1932
metals_rotation_rules,SLV_momentum_20d_long_cash,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.085633901635385,0.10035358843941289,0.2804374352417891,0.4864048611872502,-0.5383638449047985,0.18640476954235086,0.284460505937016,0.5580795043882292,,,,,26.409912235415593,0.040600000000000004,,1937
metals_rotation_rules,stock_metals_bonds_rotation_60d,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.0948860378244722,0.10098741532622668,0.29754146955734206,0.47745901009070635,-0.5886171752285427,0.1715672249743923,0.4976768198244708,0.9380485286525555,,,,,46.96541042849768,0.07220000000000001,,1937
metals_rotation_rules,stock_metals_bonds_rotation_120d,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.0991651300287555,0.1012797356352424,0.3089281982146631,0.47188707879774616,-0.4265790728938521,0.23742312286483017,0.5080020650490449,0.9370160041300981,,,,,37.98864223025297,0.05840000000000001,,1937
metals_rotation_rules,gold_silver_ratio_60d,1937,1937,0,1.0,16,2018-10-16,2026-07-02,0.6194759402224617,0.06472934187779456,0.1832483584931753,0.4348660440876045,-0.38258998904579955,0.16918723367339822,0.29013939081053175,0.5348477026329376,,,,,34.9963861641714,0.0538,,1937
walk_forward_ml_long_short_cost_aware,gradient_boosting,1937,1937,0,1.0,16,2018-10-16,2026-07-02,0.4879898860295715,0.05306439126323914,0.19601195774913188,0.36133900875058395,-0.34452069439823174,0.15402381373904342,0.5234899328859061,0.9974186886938565,0.3221476510067114,0.659783169850284,0.3376355188435725,0.002581311306143521,95.36189984512133,0.0733,0.006488095238095238,1937
metals_rotation_rules,SLV_momentum_60d_long_cash,1937,1937,0,1.0,16,2018-10-16,2026-07-02,0.5702725862759288,0.06046412106349086,0.29341666073187667,0.3521648000971003,-0.5239153367733376,0.11540819063605608,0.30614352090862157,0.5993804852865255,,,,,13.790397521941147,0.021200000000000004,,1937
baseline_rules_rebuilt_1bp,baseline_reversion_20d,1932,1937,5,0.9974186886938565,16,2018-10-16,2026-06-25,0.16441319041873492,0.020052835368707278,0.15845322586653407,0.20474192457258142,-0.3096554877049298,0.06475853380585198,0.16563146997929606,0.30952380952380953,0.30952380952380953,0.30952380952380953,0.0,0.6904761904761905,18.52173913043478,0.0142,,1932
baseline_rules_rebuilt_1bp,baseline_reversion_10d,1932,1937,5,0.9974186886938565,16,2018-10-16,2026-06-25,0.11762821521229916,0.01461120756395795,0.15851736961784865,0.17101988244499933,-0.33239511931112364,0.04395734688956663,0.18581780538302278,0.34523809523809523,0.34523809523809523,0.34523809523809523,0.0,0.6547619047619048,29.34782608695652,0.022500000000000003,,1932
walk_forward_ml_long_short_cost_aware,random_forest,1937,1937,0,1.0,16,2018-10-16,2026-07-02,-0.33773210501015904,-0.05219973345166917,0.19600274772548826,-0.17547981245500327,-0.5441812128965524,-0.09592343913128111,0.48631905007743936,0.9943211151264842,-0.03304078471863707,0.4806401652039236,0.5136809499225606,0.005678884873515746,64.1383582860093,0.0493,0.009871031746031746,1937
baseline_rules_rebuilt_1bp,baseline_zero,1932,1937,5,0.9974186886938565,16,2018-10-16,2026-06-25,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1932
